symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-02-02 15:00:00,333,SHORT,0.238449,0.295622,23.9771,0.0,0,1,False,25.0,0.13,-24.0771,-0.03,0.0001,0.49,1119.16,-99.96,-999.51,333,48.65,-99.95
BTC/USDT,2026-02-02 16:00:00,334,SHORT,0.295622,0.391404,32.4001,0.0,0,1,False,25.0,0.12,-32.5001,-0.04,0.0001,0.45,1119.16,-99.96,-999.55,334,48.5,-99.95
BTC/USDT,2026-02-02 17:00:00,335,SHORT,0.391404,0.233635,-40.3085,0.0,0,0,True,25.0,0.11,40.2085,0.05,0.0001,0.5,1119.16,-99.96,-999.5,335,48.66,-99.95
BTC/USDT,2026-02-02 18:00:00,336,SHORT,0.233635,0.223502,-4.337,0.0,0,0,True,25.0,0.12,4.237,0.01,0.0001,0.5,1119.16,-99.96,-999.5,336,48.81,-99.95
BTC/USDT,2026-02-02 19:00:00,337,SHORT,0.223502,0.249008,11.4119,0.0,0,1,False,25.0,0.13,-11.5119,-0.01,0.0001,0.49,1119.16,-99.96,-999.51,337,48.66,-99.95
BTC/USDT,2026-02-02 20:00:00,338,SHORT,0.249008,0.367491,47.5819,0.0,0,1,False,25.0,0.12,-47.6819,-0.06,0.0001,0.43,1119.16,-99.96,-999.57,338,48.52,-99.96
BTC/USDT,2026-02-02 21:00:00,339,SHORT,0.367491,0.398529,8.446,0.0,0,1,False,25.0,0.11,-8.546,-0.01,0.0001,0.42,1119.16,-99.96,-999.58,339,48.38,-99.96
BTC/USDT,2026-02-02 22:00:00,340,SHORT,0.398529,0.373818,-6.2005,0.0,0,0,True,25.0,0.11,6.1005,0.01,0.0001,0.43,1119.16,-99.96,-999.57,340,48.53,-99.96
BTC/USDT,2026-02-02 23:00:00,341,SHORT,0.373818,0.12139,-67.527,0.0,0,0,True,25.0,0.11,67.427,0.07,0.0001,0.5,1119.16,-99.96,-999.5,341,48.68,-99.95
BTC/USDT,2026-02-03 00:00:00,342,SHORT,0.12139,0.149026,22.7667,0.0,0,1,False,25.0,0.12,-22.8667,-0.03,0.0001,0.47,1119.16,-99.96,-999.53,342,48.54,-99.95
BTC/USDT,2026-02-03 01:00:00,343,SHORT,0.149026,0.296154,98.7261,0.0,0,1,False,25.0,0.12,-98.8261,-0.12,0.0001,0.35,1119.16,-99.97,-999.65,343,48.4,-99.96
BTC/USDT,2026-02-03 02:00:00,344,SHORT,0.296154,0.310049,4.6918,0.0,0,1,False,25.0,0.09,-4.7918,-0.0,0.0001,0.35,1119.16,-99.97,-999.65,344,48.26,-99.96
BTC/USDT,2026-02-03 03:00:00,345,SHORT,0.310049,0.542543,74.986,0.0,0,1,False,25.0,0.09,-75.086,-0.07,0.0001,0.28,1119.16,-99.97,-999.72,345,48.12,-99.97
BTC/USDT,2026-02-03 04:00:00,346,SHORT,0.542543,0.5695,4.9686,0.0,0,1,False,25.0,0.07,-5.0686,-0.0,0.0001,0.28,1119.16,-99.97,-999.72,346,47.98,-99.97
BTC/USDT,2026-02-03 05:00:00,347,SHORT,0.5695,0.691836,21.4813,0.0,0,1,False,25.0,0.07,-21.5813,-0.02,0.0001,0.27,1119.16,-99.98,-999.73,347,47.84,-99.97
BTC/USDT,2026-02-03 06:00:00,348,SHORT,0.691836,0.984156,42.2529,0.0,0,1,False,25.0,0.07,-42.3529,-0.03,0.0001,0.24,1119.16,-99.98,-999.76,348,47.7,-99.98
