timestamp,entry_price,exit_price,prob,action,pred_direction,actual_direction,correct,pnl_pct,capital,drawdown_pct,regime,regime_conf,tsmom_sign,z_score,position_frac_used
2026-04-08 09:00:00,0.053337326592941846,0.08338258485233638,0.56046915,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.8727,-1.0,-0.832,0.0
2026-04-08 10:00:00,0.08338258485233638,0.16457475710913716,0.5694023,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.8845,-1.0,-0.1756,0.0
2026-04-08 11:00:00,0.16457475710913716,0.14616601259057058,0.5826527,HOLD,1,0,False,0.0,999.0920553107402,0.3995,TRENDING,0.9735,-1.0,1.502,0.0
2026-04-08 12:00:00,0.14616601259057058,0.08452909727278032,0.59217095,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9673,-1.0,1.1244,0.0
2026-04-08 13:00:00,0.08452909727278032,0.11749243051356938,0.5985795,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9642,-1.0,-0.1369,0.0
2026-04-08 14:00:00,0.11749243051356938,0.11817836380321793,0.60890114,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9342,-1.0,0.5793,0.0
2026-04-08 15:00:00,0.11817836380321793,0.12626562272256409,0.6031252,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9226,-1.0,0.5988,0.0
2026-04-08 16:00:00,0.12626562272256409,0.1435455825387072,0.5879645,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9184,-1.0,0.786,0.0
2026-04-08 17:00:00,0.1435455825387072,0.11423640346156272,0.58168983,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9188,-1.0,1.1404,0.0
2026-04-08 18:00:00,0.11423640346156272,0.04606324036910126,0.5713073,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9009,-1.0,0.5485,0.0
2026-04-08 19:00:00,0.04606324036910126,0.095476988220865,0.58322245,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.8249,-1.0,-0.9344,0.0
2026-04-08 20:00:00,0.095476988220865,0.08881057841809561,0.5826857,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6981,-1.0,0.2139,0.0
2026-04-08 21:00:00,0.08881057841809561,0.07782417423240874,0.5699116,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6958,-1.0,0.1022,0.0
2026-04-08 22:00:00,0.07782417423240874,0.0893535004260433,0.56968987,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6882,-1.0,-0.119,0.0
2026-04-08 23:00:00,0.0893535004260433,0.11181077810178956,0.55703425,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6882,-1.0,0.1882,0.0
2026-04-09 00:00:00,0.11181077810178956,0.2620704512581099,0.5450777,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6878,-1.0,0.8151,0.0
2026-04-09 01:00:00,0.2620704512581099,0.27561280617776374,0.49964932,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.5539,-1.0,3.8768,0.0
2026-04-09 02:00:00,0.27561280617776374,0.23676295920617188,0.46523806,HOLD,0,0,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.5518,-1.0,3.4999,0.0
2026-04-09 03:00:00,0.23676295920617188,0.16095988436434755,0.45887652,HOLD,0,0,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.537,-1.0,2.5404,0.0
2026-04-09 04:00:00,0.16095988436434755,0.16262618675831672,0.49237883,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.558,-1.0,1.2226,0.0
2026-04-09 05:00:00,0.16262618675831672,0.16491989216557346,0.48729166,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.57,-1.0,1.2033,0.0
2026-04-09 06:00:00,0.16491989216557346,0.09088678041644527,0.46443456,HOLD,0,0,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.5986,-1.0,1.2084,0.0
2026-04-09 07:00:00,0.09088678041644527,0.1118654077023294,0.48202842,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.5791,-1.0,-0.042,0.0
2026-04-09 08:00:00,0.1118654077023294,0.16347579917253893,0.4878657,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.592,-1.0,0.3081,0.0
2026-04-09 09:00:00,0.16347579917253893,0.23844891875935795,0.46585527,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.5904,-1.0,1.1756,0.0
2026-04-09 10:00:00,0.23844891875935795,0.2956221708272315,0.47460258,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6015,-1.0,2.2622,0.0
2026-04-09 11:00:00,0.2956221708272315,0.3914039676606488,0.5371907,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7039,-1.0,2.8332,0.0
2026-04-09 12:00:00,0.3914039676606488,0.23363475148851276,0.5680998,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7065,-1.0,3.5465,0.0
2026-04-09 13:00:00,0.23363475148851276,0.22350207921855259,0.54418397,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7074,-1.0,1.4842,0.0
2026-04-09 14:00:00,0.22350207921855259,0.24900787888633324,0.56057966,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7119,-1.0,1.2984,0.0
2026-04-09 15:00:00,0.24900787888633324,0.3674905623160195,0.5775139,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.706,-1.0,1.5332,0.0
2026-04-09 16:00:00,0.3674905623160195,0.3985289479559634,0.5898473,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6897,-1.0,2.6791,0.0
2026-04-09 17:00:00,0.3985289479559634,0.37381798997843174,0.5865797,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6848,-1.0,2.7262,0.0
2026-04-09 18:00:00,0.37381798997843174,0.1213898253079673,0.5621841,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.6912,-1.0,2.2816,0.0
2026-04-09 19:00:00,0.1213898253079673,0.14902633771474744,0.5117579,HOLD,1,1,True,0.0,999.0920553107402,0.3995,TRENDING,0.6914,-1.0,-0.2367,0.0
2026-04-09 20:00:00,0.14902633771474744,0.29615425635348874,0.5244069,HOLD,1,1,True,0.0,999.0920553107402,0.3995,TRENDING,0.8312,-1.0,0.0182,0.0
2026-04-09 21:00:00,0.29615425635348874,0.31004924214260404,0.51687115,HOLD,1,1,True,0.0,999.0920553107402,0.3995,TRENDING,0.7464,-1.0,1.4374,0.0
2026-04-09 22:00:00,0.31004924214260404,0.542542701927097,0.5030292,HOLD,1,1,True,0.0,999.0920553107402,0.3995,TRENDING,0.7205,-1.0,1.5019,0.0
2026-04-09 23:00:00,0.542542701927097,0.5694995603105191,0.4849514,HOLD,0,1,False,0.0,999.0920553107402,0.3995,TRENDING,0.6853,-1.0,3.275,0.0
2026-04-10 00:00:00,0.5694995603105191,0.6918355433908218,0.46785396,HOLD,0,1,False,0.0,999.0920553107402,0.3995,TRENDING,0.6801,-1.0,3.0795,0.0
2026-04-10 01:00:00,0.6918355433908218,0.9841562438563943,0.49390972,HOLD,0,1,False,0.0,999.0920553107402,0.3995,TRENDING,0.9058,-1.0,3.4374,0.0
2026-04-10 02:00:00,0.9841562438563943,1.100752521161752,0.5014322,HOLD,1,1,True,0.0,999.0920553107402,0.3995,TRENDING,0.8946,-1.0,4.2116,0.0
2026-04-10 03:00:00,1.100752521161752,1.1660813520490592,0.4986466,HOLD,0,1,False,0.0,999.0920553107402,0.3995,TRENDING,0.9069,-1.0,3.8986,0.0
2026-04-10 04:00:00,1.1660813520490592,0.9469079516915879,0.4912156,HOLD,0,0,True,0.0,999.0920553107402,0.3995,TRENDING,0.939,-1.0,3.5136,0.0
2026-04-10 05:00:00,0.9469079516915879,0.564814914179299,0.4976685,HOLD,0,0,True,0.0,999.0920553107402,0.3995,TRENDING,0.9239,-1.0,2.4366,0.0
2026-04-10 06:00:00,0.564814914179299,0.4728240505292166,0.508643,HOLD,1,0,False,0.0,999.0920553107402,0.3995,TRENDING,0.8809,-1.0,1.0111,0.0
2026-04-10 07:00:00,0.4728240505292166,0.8442937789327666,0.46761087,HOLD,0,1,False,0.0,999.0920553107402,0.3995,TRENDING,0.9246,-1.0,0.6509,0.0
2026-04-10 08:00:00,0.8442937789327666,0.6291820325658504,0.4424937,SHORT,0,0,True,0.25378305269384926,1002.2762236849519,0.0821,TRENDING,0.8735,-1.0,1.8718,0.0126
2026-04-10 09:00:00,0.6291820325658504,0.9786067806386858,0.43263984,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8636,-1.0,1.0737,0.0
2026-04-10 10:00:00,0.9786067806386858,0.9877083338798763,0.44478282,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8557,-1.0,2.1288,0.0
2026-04-10 11:00:00,0.9877083338798763,1.4172994436975561,0.46377927,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8545,-1.0,2.0146,0.0
2026-04-10 12:00:00,1.4172994436975561,1.6100532525640572,0.47935575,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8414,-1.0,2.9803,0.0
2026-04-10 13:00:00,1.6100532525640572,1.7317784578658562,0.47255492,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.886,-1.0,3.0909,0.0
2026-04-10 14:00:00,1.7317784578658562,2.0017471302135035,0.46497652,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8912,-1.0,2.9967,0.0
2026-04-10 15:00:00,2.0017471302135035,1.237247366673073,0.45133808,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8915,-1.0,3.1513,0.0
2026-04-10 16:00:00,1.237247366673073,1.8140055118538323,0.46140492,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8697,-1.0,1.4844,0.0
2026-04-10 17:00:00,1.8140055118538323,1.600620640260802,0.46893355,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8451,-1.0,2.4343,0.0
2026-04-10 18:00:00,1.600620640260802,1.5222768574656527,0.473974,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8386,-1.0,1.9008,0.0
2026-04-10 19:00:00,1.5222768574656527,1.0907271972796666,0.45024088,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.9446,-1.0,1.664,0.0
2026-04-10 20:00:00,1.0907271972796666,1.2851008258116818,0.42547223,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.9149,-1.0,0.8428,0.0
2026-04-10 21:00:00,1.2851008258116818,1.7442303517503541,0.4525917,HOLD,0,1,False,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.9542,-1.0,1.1471,0.0
2026-04-10 22:00:00,1.7442303517503541,1.5130043706987735,0.4549696,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.963,-1.0,1.8656,0.0
2026-04-10 23:00:00,1.5130043706987735,1.3834023577845147,0.4841023,HOLD,0,0,True,0.0,1002.2762236849519,0.0821,MEAN_REVERTING,0.8929,-1.0,1.392,0.0
